mid,sum
478,"""Philadelphia Story, The"" is about a wealthy socialite's chaotic love life, filled with unexpected twists and witty humor."
479,Vertigo is a compelling mystery thriller by Alfred Hitchcock.
480,North by Northwest is a suspenseful thriller film.
481,"The Apartment is about a man who lends his apartment to his bosses for affairs, but ends up falling in love with an elevator operator involved with one of them."
482,"""Some Like It Hot"" is about two musicians who dress as women to hide from the mob, leading to comedic chaos."
483,"""Casablanca"" is about a cynical American expatriate caught in a love triangle during World War II in Casablanca, where he must navigate political tensions and make tough choices."
484,"Maltese Falcon, The (1941) is about a detective who gets involved in a dangerous search for a valuable statue."
485,"My Fair Lady is about a bet to transform a Cockney flower girl into a high society lady through speech and etiquette lessons, exploring themes of class, identity, and language."
486,Sabrina is a romantic comedy film.
487,Roman Holiday is about a princess and an American journalist who have a whirlwind romance in Rome.
488,"Sunset Blvd. is about the obsession of a faded film star with a struggling screenwriter, revealing the dark side of Hollywood."
489,Notorious is a suspenseful drama film.
490,To Catch a Thief is about a thrilling pursuit.
491,"""Adventures of Robin Hood, The"" is about a skilled archer defending the oppressed against a tyrant in medieval England."
493,"""Thin Man, The"" is about a retired detective and his glamorous wife who use their wit and intelligence to solve a murder mystery."
494,"""His Girl Friday"" is a comedy film from 1940."
495,"Around the World in 80 Days is about a man's global journey in 80 days, facing obstacles and adventures."
496,It's a Wonderful Life is about a classic drama released in 1946.
497,Bringing Up Baby is a classic comedy film.
498,"The African Queen is about a missionary and boat captain's journey on an African river during World War I, facing challenges of survival and romance."
499,"""Cat on a Hot Tin Roof"" is about a wealthy Southern family gathering for a birthday celebration, but as hidden desires and secrets unfold, tensions rise, revealing the dysfunctional dynamics within."
500,Fly Away Home is about a 1996 film.
501,Dumbo is about a young elephant who gains fame in a circus due to his large ears.
502,Bananas is about a bumbling New Yorker's satirical adventures in a fictional Central American political revolution.
505,"Dial M for Murder (1954) is a suspenseful thriller where a former tennis player plans to have his unfaithful wife killed, leading to unexpected twists and building tension."
506,"""Rebel Without a Cause"" is about a troubled teenager's journey to find acceptance and identity amidst societal pressure and teenage angst."
507,"A Streetcar Named Desire is about the tumultuous relationship between Blanche DuBois and Stanley Kowalski, highlighting the clash between illusion and reality."
509,"""My Left Foot"" is about Christy Brown, an artist with cerebral palsy, who overcomes his limitations to paint and write with his left foot."
510,The Magnificent Seven is about seven gunslingers hired to protect a Mexican village from bandits in the American West.
511,"Lawrence of Arabia is about T.E. Lawrence's journey in uniting Arab tribes against the Ottoman Empire during World War I, highlighting his complex personality and the challenges he faces."
512,"""Wings of Desire"" is about angels observing humans in Berlin, with one angel falling in love and contemplating becoming mortal."
513,"""The Third Man"" is about a writer investigating the mysterious death of his friend in post-WWII Vienna, leading him into a complex web of intrigue, betrayal, and moral ambiguity."
514,"Annie Hall is about the ups and downs of a comedian's relationship with a singer, showcasing modern love with humor and authenticity."
515,"Boot, Das is a 1981 movie."
516,"Local Hero is about an American executive sent to a Scottish village to buy it for an oil refinery, but ends up discovering its charm and eccentricities."
519,"Treasure of the Sierra Madre is about three prospectors searching for gold in Mexico, where the pursuit of wealth exposes their true natures."
520,The Great Escape is about Allied prisoners of war trying to escape a German camp in World War II.
521,"The Deer Hunter is about three friends profoundly impacted by the Vietnam War, exploring their journey and the emotional toll it takes on them."
522,Down by Law is about three men forming an unlikely friendship in a New Orleans prison and planning their escape.
523,Cool Hand Luke is about a rebellious prisoner who becomes a hero to fellow inmates in a Florida prison camp.
525,"The Big Sleep is about a detective investigating a convoluted murder case in Los Angeles, uncovering secrets in a dark and glamorous setting."
527,Gandhi is about Mahatma Gandhi and his nonviolent resistance movement against British rule.
528,"""Killing Fields"" is a thrilling film."
529,"My Life as a Dog is about a young boy's journey through family challenges, friendships, and personal growth in 1950s Sweden."
530,"""The Man Who Would Be King"" is a gripping tale of two British soldiers who journey to Afghanistan to become rulers, facing danger and betrayal along the way."
531,Shine is a 1996 movie.
533,The Daytrippers is a 1996 film.
534,Traveller is a movie.
535,Addicted to Love is a 1997 film.
536,"Ponette is about a four-year-old girl who grapples with the death of her mother, navigating the depths of grief and seeking understanding."
537,"My Own Private Idaho is about two young male hustlers on a journey of self-discovery, exploring themes of friendship, family, and identity in the gritty underworld of Portland and the enchanting landscapes of Idaho."
538,"Anastasia is about a young orphan's quest to find her family and uncover her true identity, aided by a charming con artist."
539,"""Mouse Hunt"" is a comedy film."
4,Get Shorty is about a mobster turned movie producer navigating the worlds of crime and Hollywood.
31,Crimson Tide is an action thriller film.
53,Natural Born Killers is a crime film directed by Oliver Stone.
92,"True Romance is about a couple who faces dangerous consequences after stealing cocaine, testing their love and exploring loyalty and sacrifice."
97,"Dances with Wolves is about a Union Army officer who befriends Sioux Native Americans, questioning ""civilization"" and forming deep connections."
99,Snow White and the Seven Dwarfs is about a princess who befriends seven dwarfs after escaping her evil stepmother.
118,"""Twister"" is about storm chasers researching tornadoes, facing intense and dangerous weather conditions in their pursuit of better warning systems."
125,"Phenomenon is about a mechanic named George who gains extraordinary intelligence after a mysterious encounter, leading to both admiration and personal struggles."
141,"20,000 Leagues Under the Sea is an adventure film."
164,"""The Abyss"" is about an underwater crew's rescue mission and their encounter with advanced alien species, exploring themes of exploration and communication."
179,"A Clockwork Orange is about a young man named Alex and his violent gang in a dystopian future Britain, exploring themes of violence, free will, and rehabilitation."
188,"Full Metal Jacket is about the Vietnam War's impact on U.S. Marine recruits, revealing the harsh realities and psychological toll of combat."
201,Evil Dead II is about a man who fights demonic forces in a cabin with dark humor and limited resources.
205,"Patton is about the life and career of General George S. Patton, highlighting his leadership and strategic brilliance in World War II."
215,"Field of Dreams is about a farmer who builds a baseball field, attracting deceased players and embracing dreams."
217,Bram Stoker's Dracula is about Count Dracula's quest for love and his undead curse in 1992 film adaptation of the classic horror novel.
226,Die Hard 2 is about an action-packed thriller.
265,Hunt for Red October is about a CIA analyst hunting a renegade Soviet submarine commander during the Cold War.
307,The Devil's Advocate is a psychological thriller.
334,U Turn is a film.
356,"The Client is about a boy who seeks a lawyer's help after witnessing a murder, leading to a suspenseful chain of events."
379,"""Demon Knight"" is a horror film released in 1995."
380,Star Trek: Generations is about iconic characters from two Star Trek series joining forces to defeat a powerful enemy and protect the fabric of time.
399,The Three Musketeers is about the adventures of a group of musketeers.
403,Batman is about the Dark Knight's origins and his battle against the Joker in Gotham City.
418,"""Cinderella"" is about a mistreated girl who attends a royal ball with her fairy godmother's help and wins the prince's heart."
420,"""Alice in Wonderland"" is about a young girl named Alice who enters a magical world filled with talking animals and strange characters."
429,The Day the Earth Stood Still is about an extraordinary event that disrupts the planet.
431,Highlander is about immortal beings fighting for ultimate power throughout history.
447,Carrie is a supernatural thriller film.
463,"""Secret of Roan Inish"" is about a young girl in Ireland who discovers her family's ties to selkies, mythical creatures that can transform from seals to humans, leading her on a captivating and visually stunning journey of self-discovery and adventure."
503,"The Candidate is about an idealistic lawyer's journey as he reluctantly runs for a Senate seat, questioning his own integrity amidst the challenges and compromises of the American political system."
504,"""Bonnie and Clyde"" is about the love affair and crime spree of a notorious couple during the Great Depression, portraying their violent bank robberies and the events as they evade police."
526,Ben-Hur is about a Jewish prince seeking revenge and finding redemption during the time of Jesus Christ.
541,Mortal Kombat is about skilled warriors competing in a secret tournament to save Earthrealm from destruction.
542,"Pocahontas is about a Native American woman who falls in love with an English settler, showing the clash of cultures in the 17th century."
545,"""Vampire in Brooklyn"" is a horror-comedy film."
546,"""Broken Arrow"" is an action thriller film."
548,NeverEnding Story III is about an adventure in a fantasy world.
549,Rob Roy is about the legendary Scottish hero Robert Roy MacGregor in the 17th century.
550,Die Hard: With a Vengeance is an action thriller film.
551,Lord of Illusions is a supernatural horror film.
552,Species is about a sci-fi horror story.
555,White Man's Burden is about a white man battling discrimination in a world of reversed racial roles.
557,"Farinelli: il castrato is about the life of renowned castrato singer, Farinelli, and his struggles in the 18th-century opera world."
558,Heavenly Creatures is a drama film.
559,Interview with the Vampire is about a vampire's life.
561,"Mary Shelley's Frankenstein is about a scientist who creates a creature from dead bodies, only to be haunted by its destructive actions."
562,The Quick and the Dead is a western film directed by Sam Raimi.
563,"The Langoliers is about airline passengers stuck in a time rift, trying to escape before being destroyed by the Langoliers."
565,Village of the Damned is about a mysterious village in 1995.
566,"Clear and Present Danger is about a CIA analyst who discovers a hidden war against drug cartels, leading him to protect his country."
567,Wes Craven's New Nightmare is about a horror film directed by Wes Craven.
568,Speed is an action thriller film.
569,Wolf is a 1994 movie.
573,Body Snatchers is about a sci-fi horror story.
574,"Boxing Helena is about a surgeon's extreme obsession with a woman, leading him to amputate her limbs to possess and control her."
576,Cliffhanger is an action thriller film.
577,Coneheads is a comedy film.
579,Fatal Instinct is a crime comedy directed by Carl Reiner.
581,Kalifornia is a thriller movie.
582,"The Piano is about a mute woman in New Zealand who finds solace and connection through her piano, revealing the power of music and exploring themes of communication and desire."
583,Romeo Is Bleeding is a crime thriller film.
584,"Secret Garden, The is about a young girl who discovers a magical garden that heals troubled souls."
585,"""Son in Law"" is a light-hearted comedy."
587,Hour of the Pig is about a lawyer defending a pig accused of murder in medieval France.
588,"""Beauty and the Beast"" is about Belle, a young woman who befriends a cursed prince living as a beast, and together they discover the true meaning of beauty and love."
589,"The Wild Bunch is about an aging outlaw gang confronting modern civilization, delving into loyalty, honor, and violence in the Wild West."
590,Hellraiser: Bloodline is a horror film.
592,True Crime is a crime thriller.
593,Stalingrad is about the fierce Battle of Stalingrad during World War II.
595,The Fan is about a obsessed baseball fan turning into a dangerous stalker of his favorite player.
596,"""The Hunchback of Notre Dame"" is about Quasimodo, a deformed man living in Notre Dame Cathedral, who must save his love interest from a villainous character."
599,Police Story 4: Project S is about a Hong Kong police officer who goes undercover to take down a counterfeiting gang.
600,Robinson Crusoe is a film adaptation of the classic adventure novel.
601,"For Whom the Bell Tolls is about an American dynamiter who joins anti-fascist guerrillas during the Spanish Civil War, exploring themes of bravery and sacrifice."
603,"Rear Window is about a photographer who, while confined to his apartment, believes he has witnessed a murder by observing his neighbors through his rear window."
605,"Meet Me in St. Louis is about the Smith family's life in St. Louis, their concerns about the World's Fair, and the romantic struggles of the daughters."
608,Spellbound is a psychological mystery film.
610,Gigi is about a young girl in Paris who defies her destiny as a courtesan to pursue true love.
612,Lost Horizon is about a group of crash-landed people in the Himalayas who discover a captivating utopian society and must decide whether to leave or stay.
613,"My Man Godfrey is about a charming and witty man who becomes the butler of a wealthy family, bringing humor and charm to their lives."
614,"""Giant"" is about a wealthy Texas rancher who marries a socialite, leading to conflicts with a cowboy-turned-oil magnate over power and control, while exploring themes of love, family, and the transformation of America."
615,"The 39 Steps is about a man caught up in a spy ring, struggling to clear his name amidst a thrilling journey of suspense and danger."
616,"Night of the Living Dead is about a group of people trapped in a farmhouse, fighting off reanimated corpses."
617,The Blue Angel is a 1930 drama film.
618,Picnic is about love and desire in a small Kansas town during a Labor Day picnic.
620,The Chamber is about a lawyer uncovering family secrets and corruption while trying to save his grandfather from execution.
621,"Davy Crockett, King of the Wild Frontier is about the legendary American frontiersman's adventurous and courageous life in the wild frontier."
622,"Swiss Family Robinson is about a family stranded on an island, where they use resourcefulness to build a thriving community and overcome challenges."
624,"""Three Cabelleros"" is about Donald Duck and his friends exploring Latin American countries, showcasing their culture and traditions."
626,So Dear to My Heart is a heartwarming movie.
630,"Great Race is about a crazy race competition filled with mishaps, challenges, and romance."
631,"""The Crying Game"" is about a mysterious game played with intense emotions."
632,Sophie's Choice is about a troubled Polish woman grappling with her past in World War II.
633,"A Christmas Carol (1938) is about a miserly man, visited by three spirits, who learns the value of kindness and redemption during the Christmas season."
634,Microcosmos: Le peuple de l'herbe is a visually stunning documentary that explores the intricate lives of insects and small creatures through breathtaking cinematography.
636,Escape from New York is an action film.
637,"The Howling (1981) is about a traumatized newswoman who seeks solace at a secluded retreat, only to discover the residents are werewolves, leading to a desperate fight for survival."
638,"The Return of Martin Guerre is about a man who reappears in his village after years of absence, raising doubts about his true identity and resulting in a gripping tale of deception and betrayal."
639,"The Tin Drum is about a young boy who defies the world's horrors by refusing to grow up, unveiling Nazi Germany's atrocities."
641,"Paths of Glory is about a French army unit facing a harrowing suicide mission during World War I, revealing the dark aspects of war."
643,The Innocent is a drama film.
644,The Thin Blue Line is about the wrongful conviction of Randall Dale Adams and raises questions about the justice system.
645,Paris Is Burning is a documentary film about New York City's vibrant and diverse ballroom culture.
646,Once Upon a Time in the West is a classic Western film.
647,Ran is a movie.
649,Once Upon a Time in America is about an epic story set in 1984.
651,Glory is about the 54th Massachusetts Infantry's struggles and bravery as they fight as an all-black Union regiment in the American Civil War.
653,"Touch of Evil is about a corrupt police captain embroiled in a murder investigation at the U.S.-Mexico border, exploring themes of corruption, racism, and moral ambiguity."
654,"Chinatown is about a detective investigating corruption and murder in 1930s Los Angeles, navigating a web of secrets and betrayal."
655,"Stand by Me is about a group of friends searching for a missing boy, facing challenges and discovering the value of friendship and youth."
657,The Manchurian Candidate is about a brainwashed POW turned assassin caught in a political conspiracy.
659,"Arsenic and Old Lace is about a drama critic who uncovers his aunts' dark secret of poisoning elderly men, leading to comedic and chaotic situations."
660,"Fried Green Tomatoes is about four women's lives in a small town, exploring friendship, love, and empowerment."
663,"Being There is about a simple-minded gardener who becomes an influential advisor to powerful figures, challenging societal norms and questioning perception."
665,"""Alien 3"" is a sci-fi horror film."
666,Blood For Dracula is about Count Dracula's quest for virgin blood in Italy and the challenges he faces when he encounters a family with four beautiful daughters.
667,"""Audrey Rose"" is about a couple's belief that their daughter has been reincarnated, leading them to uncover unsettling connections to a tragic event, blurring the line between the supernatural and the rational."
668,Blood Beach is a horror film set on a beach.
669,Body Parts is a psychological horror film.
670,"""Body Snatchers"" is a science fiction horror film."
671,"Bride of Frankenstein is about Dr. Frankenstein creating a companion for his monster, leading to the exploration of creation and its consequences."
672,"Candyman (1992) is about a graduate student who gets entangled in the horrifying world of the vengeful ghost called Candyman, revealing the truth behind his existence amidst escalating violence and urban legends."
674,Cat People (1982) is a suspenseful horror film that delves into feline mythology.
675,Nosferatu is about a vampire who brings death and despair after moving to a small German town.
679,"""Conan the Barbarian"" is about a warrior seeking revenge, battling mythical creatures on a dangerous quest for power."
680,Kull the Conqueror is a fantasy film.
681,Wishmaster is about a malevolent genie fulfilling deadly wishes.
682,"""I Know What You Did Last Summer"" is about a group of teenagers being hunted by a killer after a hit-and-run accident."
683,"""Rocket Man"" is a comedic sci-fi film."
518,Miller's Crossing is a crime film.
684,In the Line of Fire is about a 1993 movie.
685,"""Executive Decision"" is about an action thriller."
687,McHale's Navy is a comedy film.
688,Leave It to Beaver (1997) is a family comedy film.
689,"Jackal, The (1997) is about an assassin hired to kill an FBI deputy director, triggering a high-stakes cat-and-mouse chase with authorities and an imprisoned sniper."
690,"""Seven Years in Tibet"" is about an Austrian mountaineer befriending the Dalai Lama and experiencing the cultural clash and spiritual transformation in Tibet during the Chinese invasion."
33,Desperado is about action-packed adventures.
85,"The Ref is about a couple held hostage by a bickering criminal couple, leading to chaotic and unexpected events on Christmas Eve."
116,Cold Comfort Farm is about a young woman who transforms a dysfunctional family's gloomy farm into a place of happiness.
155,"Dirty Dancing is about a young woman who falls in love with a dance instructor during a summer at a resort, overcoming social barriers and discovering love and herself."
160,Glengarry Glen Ross is a drama film.
218,"Cape Fear is about a rapist seeking revenge on his former defense attorney and terrorizing his family, leading to a suspenseful battle of wits."
289,"Evita is about the captivating rise of Eva Perón, from a humble background to becoming the beloved First Lady of Argentina."
414,"""My Favorite Year"" is about a young writer who learns life lessons while babysitting an aging movie star."
470,Tombstone is a Western film set in 1993.
602,"An American artist falls in love with a French woman in Paris, portrayed through captivating dance and music."
604,It Happened One Night is a 1934 film.
606,"All About Eve is about a young woman's ambition to become a famous actress and her intricate relationship with a renowned Broadway actress, delving into the complexities of show business."
629,Victor/Victoria is about a singer who achieves success by disguising herself as a male performer.
656,M is a German thriller film about crime and suspense.
664,"Paris, Texas is about a man reconnecting with his family after disappearing and confronting his secrets, in a soulful exploration of memory and redemption."
686,"A Perfect World is about an escaped convict and a young boy forming a complex bond while on the run, challenging concepts of good and bad, and exploring themes of redemption and human relationships."
692,"The American President is a romantic drama about President Andrew Shepherd's balancing act between his personal life and political career, as he falls in love with an environmental lobbyist."
693,"Casino is about a skilled gambler appointed by the mafia to run a Las Vegas casino, dealing with politics, corruption, and greed."
694,Persuasion is a romantic drama.
696,City Hall is about an idealistic deputy mayor who uncovers corruption and cover-ups in the complex world of New York City politics.
698,The Browning Version is a drama film.
699,"Little Women is about four March sisters growing up during the Civil War, exploring themes of family and female independence."
700,Miami Rhapsody is a romantic comedy set in Miami.
701,"The Wonderful, Horrible Life of Leni Riefenstahl is a documentary about the controversial German filmmaker and her association with the Nazis, exploring the ethical complexities of her propaganda films."
703,"""Widows' Peak"" is about the intricate lives of women in an Irish village, exploring betrayal, rivalry, and complex relationships."
705,"Singin' in the Rain is about a silent film star's journey in Hollywood during the transition to ""talkies,"" featuring memorable song-and-dance numbers and exploring the world of early cinema."
706,"Bad Moon is about Ted, who battles with his growing bloodlust after being bitten by a mysterious creature, and must resist his violent urges as the full moon approaches."
707,Enchanted April is about four English women finding solace and rediscovering themselves in a secluded Italian castle.
708,"Sex, Lies, and Videotape is a drama film exploring relationships and secrets."
709,"Strictly Ballroom is about a rebellious dancer and his beginner partner challenging rigid ballroom dance rules to create their own routine, discovering love and self-expression."
710,"Better Off Dead... is about a high school student named Lane Meyer who, after being dumped by his girlfriend, finds a new love interest and competes in a dangerous skiing race to win her over, learning valuable life lessons along the way."
711,The Substance of Fire is a drama film.
712,"Tin Men is about a comedic rivalry between two aluminum siding salesmen in 1963 Baltimore, showcasing humorous and unexpected outcomes."
83,"Much Ado About Nothing (1993) is about tangled relationships, mistaken identities, and witty dialogue in a Tuscan villa."
291,Absolute Power is a thriller film.
312,Midnight in the Garden of Good and Evil is a mystery film.
332,"""Kiss the Girls"" is about a detective hunting a serial kidnapper, unraveling dangerous mysteries."
350,Fallen is a supernatural thriller film.
372,"""Jeffrey"" is a 1995 movie."
383,"Flintstones, The (1994) is a live-action comedy film that brings the beloved animated series to life, showcasing the everyday lives of a Stone Age couple and their neighbors and friends in Bedrock."
508,"""The People vs. Larry Flynt"" is a legal drama film."
517,Manhattan is about life in New York City.
524,"The Great Dictator is about a Jewish barber mistaken for a dictator, offering a satirical critique of dictatorship and blind nationalism."
544,"""Things to Do in Denver when You're Dead"" is a crime film."
580,"The Englishman Who Went Up a Hill, But Came Down a Mountain (1995) is a movie about a man's journey up and down a hill."
597,Eraser is an action thriller film.
652,Rosencrantz and Guildenstern Are Dead is a comedy-drama film that provides a fresh perspective on Shakespeare's Hamlet through witty dialogue and clever writing.
713,"Othello is about a Moorish general who faces manipulation and jealousy, resulting in his tragic downfall."
714,"Carrington is about the unique connection between artist Dora Carrington and writer Lytton Strachey, and the profound influence they had on one another."
717,The Juror is a film.
718,In the Bleak Midwinter is a 1995 movie.
720,"""First Knight"" is a romantic adventure film."
729,"""Nell"" is about a young woman living in isolation, whose language and way of life fascinate two scientists."
731,"Corrina, Corrina is a coming-of-age film."
733,Go Fish is an indie film.
736,"Shadowlands is a heartfelt drama about the love between C.S. Lewis and Joy Davidman, as they grapple with love, faith, and loss in the 1950s."
737,"Sirens is about a clergyman and his wife who are tempted by attractive artists, exploring the clash between conservative values and artistic freedom."
741,"The Last Supper is about a group of liberal graduate students who confront extreme conservative guests during a dinner, leading to moral and ethical dilemmas."
743,"""Crow: City of Angels"" is a sequel to ""The Crow"" released in 1996."
744,Michael Collins is about the Irish revolutionary leader's role in the fight for independence from British rule.
745,"The Ruling Class is about a British aristocrat who, believing he is Jesus Christ, challenges societal norms and highlights the power dynamics of the elite."
746,"Real Genius is about genius students recruited for a secret military project, forcing them to face moral dilemmas and the pursuit of success."
748,"""The Saint"" is about a master of disguise who must choose between his criminal life and love."
749,The MatchMaker is about a romantic comedy.
750,"Amistad is about a slave ship mutiny and the subsequent trial, examining themes of freedom and justice."
751,Tomorrow Never Dies is an action spy film.
752,The Replacement Killers is about a hitman who joins forces with a forger to outwit their dangerous pursuers in a thrilling and action-packed battle for survival.
159,Basic Instinct is a thrilling film.
202,"""Groundhog Day"" is a comedy film centered around a repeating day."
328,Conspiracy Theory is about a paranoid taxi driver getting caught up in a government conspiracy while trying to uncover the truth.
591,Primal Fear is about a crime thriller.
753,Burnt By the Sun is about a former military hero in Soviet Russia whose life is disrupted by political and personal conflicts.
754,Red Corner is a thriller film.
5,"""Copycat"" is about a criminal psychologist and detective who join forces to track down a sadistic serial killer, targeting victims based on infamous murders, before he strikes again."
17,From Dusk Till Dawn is about criminal brothers and their hostages trapped in a strip club with bloodthirsty vampires.
49,"""I.Q."" is about a young mechanic who falls in love with a Princeton student, exploring themes of intelligence, love, and societal expectations."
61,Three Colors: White is a film directed by Krzysztof Kieślowski.
67,Ace Ventura: Pet Detective is about a quirky detective who finds missing animals.
158,"Weekend at Bernie's is about two young employees who try to pretend their dead boss is alive, leading to comical adventures."
262,In the Company of Men is a drama about relationships in a corporate setting.
280,Up Close and Personal is about a drama.
287,Marvin's Room is about a family reuniting due to a family member's illness.
290,Fierce Creatures is a comedy film.
292,Rosewood is a drama film about a tragic event that unfolded in a small Florida town.
305,The Ice Storm is about two dysfunctional families in 1973 dealing with personal crises during a historic ice storm.
314,"""3 Ninjas: High Noon At Mega Mountain"" is an action-comedy film."
343,Alien: Resurrection is about a sci-fi horror film.
345,"""Deconstructing Harry"" is a dark comedy that delves into a writer's tangled life, merging reality and fiction with wit and introspection."
349,Hard Rain is about an action-packed thriller.
351,Prophecy II is a supernatural movie.
354,Wedding Singer is a romantic comedy film.
384,Naked Gun 33 1/3: The Final Insult is a comedic film.
413,"""Bordello of Blood"" is a horror-comedy film from 1996."
417,Parent Trap is about twin sisters reuniting their divorced parents through a clever switch.
424,Children of the Corn: The Gathering is a horror film.
439,Amityville: A New Generation is a horror film.
445,"""Body Snatcher"" is about a doctor in 19th-century Edinburgh who utilizes a convicted murderer to procure corpses for anatomy lessons, leading to a chilling climax."
492,"East of Eden is about Cal's strive for love, acceptance, and redemption in his tumultuous relationship with his father."
547,"The Young Poisoner's Handbook is about a twisted individual who becomes obsessed with chemistry and poisons, using them to commit horrifying crimes."
553,A Walk in the Clouds is about a romantic drama.
554,"""Waterworld"" is a post-apocalyptic sci-fi film."
564,"Tales from the Hood is about four terrifying tales that delve into the dark and twisted aspects of urban life, offering a chilling commentary on society's racism, violence, and social injustice."
570,"Wyatt Earp is about the life of a legendary lawman during the Old West, highlighting his rise to prominence and his involvement in the famous gunfight at the O.K. Corral."
572,"Blown Away is about an Irish terrorist targeting a former bomb disposal expert, leading to a suspenseful cat-and-mouse race against time."
625,"""The Sword in the Stone"" is about an iconic tale with a magical sword."
635,"The Fog is about a coastal town haunted by vengeful spirits released from a mysterious fog, forcing the trapped inhabitants to fight for their lives."
650,"Seventh Seal, The is about a knight's encounter with Death and their game of chess, exploring mortality and the meaning of life."
661,High Noon is about a marshal facing a lone battle with vengeful outlaws.
662,Somewhere in Time is a romantic drama.
691,"""Dark City"" is about a man who wakes up in a strange city with no memories, only to realize he is being hunted by mysterious beings. He uncovers a conspiracy that challenges reality and the human mind."
716,Home for the Holidays is a family movie released in 1995.
732,Dave is a 1993 movie.
739,Pretty Woman is about a wealthy businessman who falls in love with a hired escort.
740,"Jane Eyre is about a young woman's transformative journey through hardships and personal growth, as she becomes entangled with the mysterious Mr. Rochester."
747,"Benny & Joon is about a caretaker, his mentally ill sister, and a charming young man who joins their family, exploring themes of love, relationships, and acceptance."
756,Father of the Bride Part II is a comedy sequel.
758,Lawnmower Man 2 explores the world of cyberspace.
759,"""Fair Game"" is an action thriller film."
760,"Screamers is about a post-apocalyptic war where factions encounter lethal self-replicating machines called ""screamers,"" forcing them to outwit and elude these deadly creatures to stay alive."
761,"""Nick of Time"" is a thriller film."
762,"""Beautiful Girls"" is about friends revisiting their hometown, reflecting on adult life and relationships."
763,Happy Gilmore is about a man named Happy Gilmore.
764,"""If Lucy Fell"" is a romantic comedy about love and relationships."
765,Boomerang is a romantic comedy film.
766,"""Man of the Year"" is about a charismatic politician's rise to fame and the challenges he faces in the world of politics."
767,The Addiction is a movie from 1995.
768,"Casper is about a friendly ghost who forms an unlikely friendship with humans, highlighting themes of acceptance and kindness."
770,Devil in a Blue Dress is about a crime thriller.
772,"Kids is about New York City teenagers navigating through sexuality, drugs, and violence, portraying raw youth culture."
773,Mute Witness is a thriller film directed by Anthony Waller.
774,The Prophecy is a supernatural horror film.
775,Something to Talk About is a drama film.
776,"""Three Wishes"" is about a boy who finds a genie and discovers the consequences of his three wishes."
777,Castle Freak is a horror film.
780,Dumb & Dumber is about two best friends on a hilarious road trip to return a briefcase full of money.
784,Beyond Bedlam is a psychological thriller.
788,"""Relative Fear"" is a 1994 thriller film."
789,Swimming with Sharks is about a film in 1995.
790,Tommy Boy is a comedy film.
791,The Baby-Sitters Club is about a group of girls who start a babysitting business and face personal challenges while forming strong bonds with their young charges.
792,"Bullets Over Broadway is about a struggling playwright forced to cast a mobster's girlfriend in his play, resulting in chaotic and humorous situations."
793,Crooklyn is a slice-of-life film.
794,"""It Could Happen to You"" is about a police officer who shares his lottery winnings with a waitress, leading to fame, fortune, and romantic complications."
795,Richie Rich is a family comedy film.
797,Timecop is about a science fiction action story.
798,Bad Company is a 1995 movie.
799,"""Boys Life"" is aboutboys growing up."
800,"""In the Mouth of Madness"" is about an investigator searching for a missing author, leading to a nightmarish world blurring reality and fiction."
802,Hard Target is an action thriller film.
804,"""Jimmy Hollywood"" is about a struggling actor who becomes a vigilante to fight crime in Los Angeles, facing the consequences and challenges that come with his newfound fame."
805,Manhattan Murder Mystery is a suspenseful film set in Manhattan.
806,Menace II Society is about a young man facing the hardships of inner-city life and the choices he must make to escape a life of violence and crime.
807,Poetic Justice is a drama directed by John Singleton.
808,The Program is about the challenges faced by college football players on and off the field.
809,"""Rising Sun"" is about a mysterious event in 1993."
810,"The Shadow is about a wealthy and mysterious man who becomes a vigilante crime fighter with the ability to cloud men's minds, as he battles against an evil descendant of Genghis Khan to save the city."
811,Thirty-Two Short Films About Glenn Gould is a portrayal of the life of Glenn Gould.
812,"""Andre"" is about a girl who befriends a sociable seal, and together they go on adventures and learn life lessons."
813,"The Celluloid Closet explores LGBTQ+ representation in Hollywood cinema, examining struggles, triumphs, stereotypes, and censorship in mainstream films. Through interviews and film clips, it provides a comprehensive look at the evolution and impact of queer representation."
814,"A Great Day in Harlem is about a historic gathering of jazz musicians captured in a photograph in 1958, showcasing their lives and careers."
815,One Fine Day is a lighthearted romantic comedy.
816,"""Candyman: Farewell to the Flesh"" is a horror film."
817,Frisk is a film.
819,Eddie is a lighthearted film.
820,Space Jam is a 1996 movie about sports and outer space.
823,"Mulholland Falls is about a group of detectives investigating a murder in 1950s Los Angeles, uncovering corruption and scandal that extends to the highest levels of authority."
825,Arrival is a sci-fi thriller movie.
826,The Phantom is about a masked crusader fighting against injustice in a captivating and thrilling adventure.
828,Alaska is a movie.
830,Power 98 is a crime thriller.
832,Bogus is about a boy who discovers life lessons through an imaginary friend.
833,"""Bulletproof"" is an action-comedy film from 1996."
834,Halloween: The Curse of Michael Myers is a horror film involving the infamous Halloween killer.
837,"""Meet John Doe"" is a drama film."
838,In the Line of Duty 2 is an action film.
839,"Loch Ness is about a scientist's hunt for the Loch Ness monster, challenging his beliefs while facing skeptical locals."
841,The Glimmer Man is an action thriller.
842,Pollyanna is about an orphan girl who brings joy and optimism to a small town.
843,The Shaggy Dog is about a boy who turns into a sheepdog and faces challenges in reversing the transformation.
844,"""Freeway"" is about a troubled teenager's dangerous journey to find her grandmother, encountering eccentric characters and unexpected twists."
